JointNo,JointType,JointOffset,JointAngle,LinkLength,TwistAngle,JVInitial,JVFinal,Mass,LinkLength1,ActuatedJoint,bt,dx,dy,dz,Ixx,Iyy,Izz,Ixy,Iyz,Izx,Time,Step,gx,gy,gz,Force
1,1,0.4,0,0,0,0,1.047197551,16.038,0.18,1,0,0.104667,0.005077,0.059035,0.176938765,0.266532371,0.262222375,0,0,0,,,,,,
2,1,0,0,0.18,1.570796327,0,1.047197551,7.988,0.6,1,1,0.267012,0,0,0.271640468,0.276878849,0.021894253,0,0,0,,,,,,
3,1,0,0,0.6,0,0,1.047197551,12.973,0.12,1,2,0.087677,-0.034263,0.007779,0.388988085,0.376583684,0.10414629,0,0,0,,,,,,
4,1,0.62,0,0.12,1.570796327,0,1.047197551,2.051,0,1,3,-3.30E-05,0.007634,-0.109372,0.004767354,0.010122217,0.01210886,0,0,0,,,,,,
5,1,0,0,0,-1.570796327,0,1.047197551,0.811,0,1,4,0,0.032618,-0.009789,0.000760688,0.001783961,0.001801078,0,0,0,,,,,,
6,1,0,0,0,1.570796327,0,1.047197551,0.008,0,1,5,0,0,0.111885,3.11E-06,1.51E-06,1.65E-06,0,0,0,,,,,,
