Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
0,0,0,0,-0.62,-0.62,-0.62,-0.84377
0,0,0,4.13416206276393E-09,-0.619999994212173,-0.619999994212173,-0.619999994212173,-0.843769994212173
0,0,0,3.30731006502732E-08,-0.619999953697655,-0.619999953697655,-0.619999953697655,-0.843769953697652
0,0,0,1.11620613037499E-07,-0.619999843731099,-0.619999843731099,-0.619999843731099,-0.843769843731064
0,0,0,2.64578538036829E-07,-0.619999629589806,-0.619999629589806,-0.619999629589806,-0.84376962958961
0,0,0,5.16745776866856E-07,-0.619999276554993,-0.619999276554993,-0.619999276554993,-0.843769276554246
0,0,0,8.92917314129573E-07,-0.619998749913014,-0.619998749913014,-0.619998749913014,-0.843768749910784
0,0,0,1.41788323895276E-06,-0.619998014956541,-0.619998014956541,-0.619998014956541,-0.843768014950917
0,0,0,2.11642776631172E-06,-0.619997036985699,-0.619997036985699,-0.619997036985699,-0.843767036973169
0,0,0,3.01332825859614E-06,-0.619995781309162,-0.619995781309162,-0.619995781309162,-0.843765781283764
0,0,0,4.13335424744062E-06,-0.619994213245207,-0.619994213245207,-0.619994213245207,-0.843764213197419
0,0,0,5.50126645585551E-06,-0.619992298122719,-0.619992298122719,-0.619992298122719,-0.843762298038067
0,0,0,7.14181582072253E-06,-0.619990001282166,-0.619990001282166,-0.619990001282166,-0.843760001139497
0,0,0,9.07974251565599E-06,-0.619987288076513,-0.619987288076513,-0.619987288076513,-0.843757287845913
0,0,0,1.13397749743001E-05,-0.619984123872114,-0.619984123872114,-0.619984123872114,-0.84375412351243
0,0,0,1.39466289140737E-05,-0.619980474049548,-0.619980474049548,-0.619980474049548,-0.843750473505484
0,0,0,1.69250063604264E-05,-0.619976304004417,-0.619976304004417,-0.619976304004417,-0.843746303203164
0,0,0,2.02995946716224E-05,-0.6199715791481,-0.6199715791481,-0.6199715791481,-0.843741577995479
0,0,0,2.40950655640861E-05,-0.619966264908469,-0.619966264908469,-0.619966264908469,-0.843736263284536
0,0,0,2.83360741383872E-05,-0.61996032673056,-0.61996032673056,-0.61996032673056,-0.843730324484656
0,0,0,3.30472579058336E-05,-0.619953730077201,-0.619953730077201,-0.619953730077201,-0.843723727022401
0,0,0,3.82532358157851E-05,-0.619946440429599,-0.619946440429599,-0.619946440429599,-0.843716436336538
0,0,0,4.39786072836443E-05,-0.619938423287889,-0.619938423287889,-0.619938423287889,-0.843708417877919
0,0,0,5.02479512196631E-05,-0.619929644171635,-0.619929644171635,-0.619929644171635,-0.843699637109295
0,0,0,5.70858250584581E-05,-0.619920068620295,-0.619920068620295,-0.619920068620295,-0.843690059505049
0,0,0,6.451676378944E-05,-0.619909662193644,-0.619909662193644,-0.619909662193644,-0.843679650550855
0,0,0,7.25652789880407E-05,-0.61989839047215,-0.61989839047215,-0.61989839047215,-0.843668375743274
0,0,0,8.1255857847863E-05,-0.619886219057317,-0.619886219057317,-0.619886219057317,-0.843656200589259
0,0,0,9.06129622137839E-05,-0.619873113571983,-0.619873113571983,-0.619873113571983,-0.843643090605604
0,0,0,0.000100661027615962,-0.61985903966058,-0.61985903966058,-0.61985903966058,-0.843629011318313
0,0,0,0.000111424462304925,-0.619843962989349,-0.619843962989349,-0.619843962989349,-0.843613928261894
0,0,0,0.000122927646287621,-0.619827849246519,-0.619827849246519,-0.619827849246519,-0.843597806978587
0,0,0,0.000135194930364587,-0.619810664142446,-0.619810664142446,-0.619810664142446,-0.843580613017522
0,0,0,0.000148250635168202,-0.619792373409711,-0.619792373409711,-0.619792373409711,-0.843562311933798
0,0,0,0.000162119050202053,-0.619772942803176,-0.619772942803176,-0.619772942803176,-0.843542869287499
0,0,0,0.000176824432881494,-0.619752338100006,-0.619752338100006,-0.619752338100006,-0.843522250642639
0,0,0,0.000192391007575414,-0.619730525099651,-0.619730525099651,-0.619730525099651,-0.843500421566035
0,0,0,0.000208842964649182,-0.619707469623785,-0.619707469623785,-0.619707469623785,-0.843477347626114
0,0,0,0.000226204459508912,-0.619683137516209,-0.619683137516209,-0.619683137516209,-0.84345299439165
0,0,0,0.000244499611646983,-0.619657494642718,-0.619657494642718,-0.619657494642718,-0.843427327430436
0,0,0,0.000263752503688884,-0.619630506890931,-0.619630506890931,-0.619630506890931,-0.843400312307883
0,0,0,0.000283987180441436,-0.619602140170075,-0.619602140170075,-0.619602140170075,-0.84337191458556
0,0,0,0.000305227647942357,-0.619572360410742,-0.619572360410742,-0.619572360410742,-0.843342099819664
0,0,0,0.000327497872511261,-0.619541133564604,-0.619541133564604,-0.619541133564604,-0.84331083355942
0,0,0,0.000350821779802106,-0.619508425604092,-0.619508425604092,-0.619508425604092,-0.843278081345431
0,0,0,0.000375223253857074,-0.619474202522039,-0.619474202522039,-0.619474202522039,-0.843243808707943
0,0,0,0.000400726136161964,-0.619438430331287,-0.619438430331287,-0.619438430331287,-0.843207981165065
0,0,0,0.000427354224703116,-0.619401075064261,-0.619401075064261,-0.619401075064261,-0.843170564220919
0,0,0,0.000455131273025879,-0.619362102772502,-0.619362102772502,-0.619362102772502,-0.843131523363724
0,0,0,0.000484080989294628,-0.619321479526171,-0.619321479526171,-0.619321479526171,-0.843090824063824
0,0,0,0.000514227035354425,-0.619279171413518,-0.619279171413518,-0.619279171413518,-0.843048431771656
0,0,0,0.000545593025794236,-0.61923514454031,-0.61923514454031,-0.61923514454031,-0.843004311915657
0,0,0,0.000578202527011899,-0.619189365029238,-0.619189365029238,-0.619189365029238,-0.842958429900103
0,0,0,0.000612079056280675,-0.619141799019279,-0.619141799019279,-0.619141799019279,-0.842910751102909
