Time,Acceleration_J1,Acceleration_J2,Acceleration_J3,Acceleration_J4,Acceleration_J5,Acceleration_J6
0,0,0,0,0,0,0
0.05,1.65365720862711E-05,1.65365720862711E-05,1.65365720862711E-05,1.65365720862711E-05,1.65365720862711E-05,1.65365720862711E-05
0.1,3.30724913369914E-05,3.30724913369914E-05,3.30724913369914E-05,3.30724913369914E-05,3.30724913369914E-05,3.30724913369914E-05
0.15,4.96071049423829E-05,4.96071049423829E-05,4.96071049423829E-05,4.96071049423829E-05,4.96071049423829E-05,4.96071049423829E-05
0.2,6.61397601442122E-05,6.61397601442122E-05,6.61397601442122E-05,6.61397601442122E-05,6.61397601442122E-05,6.61397601442122E-05
0.25,8.26698042615605E-05,8.26698042615605E-05,8.26698042615605E-05,8.26698042615605E-05,8.26698042615605E-05,8.26698042615605E-05
0.3,9.91965847165899E-05,9.91965847165899E-05,9.91965847165899E-05,9.91965847165899E-05,9.91965847165899E-05,9.91965847165899E-05
0.35,0.000115719449060306,0.000115719449060306,0.000115719449060306,0.000115719449060306,0.000115719449060306,0.000115719449060306
0.4,0.000132237744998317,0.000132237744998317,0.000132237744998317,0.000132237744998317,0.000132237744998317,0.000132237744998317
0.45,0.000148750820416583,0.000148750820416583,0.000148750820416583,0.000148750820416583,0.000148750820416583,0.000148750820416583
0.5,0.000165258023407161,0.000165258023407161,0.000165258023407161,0.000165258023407161,0.000165258023407161,0.000165258023407161
0.55,0.000181758702293942,0.000181758702293942,0.000181758702293942,0.000181758702293942,0.000181758702293942,0.000181758702293942
0.6,0.000198252205658377,0.000198252205658377,0.000198252205658377,0.000198252205658377,0.000198252205658377,0.000198252205658377
0.65,0.000214737882365195,0.000214737882365195,0.000214737882365195,0.000214737882365195,0.000214737882365195,0.000214737882365195
0.7,0.000231215081588107,0.000231215081588107,0.000231215081588107,0.000231215081588107,0.000231215081588107,0.000231215081588107
0.75,0.000247683152835502,0.000247683152835502,0.000247683152835502,0.000247683152835502,0.000247683152835502,0.000247683152835502
0.8,0.000264141445976124,0.000264141445976124,0.000264141445976124,0.000264141445976124,0.000264141445976124,0.000264141445976124
0.85,0.000280589311264742,0.000280589311264742,0.000280589311264742,0.000280589311264742,0.000280589311264742,0.000280589311264742
0.9,0.000297026099367797,0.000297026099367797,0.000297026099367797,0.000297026099367797,0.000297026099367797,0.000297026099367797
0.95,0.000313451161389039,0.000313451161389039,0.000313451161389039,0.000313451161389039,0.000313451161389039,0.000313451161389039
1,0.000329863848895144,0.000329863848895144,0.000329863848895144,0.000329863848895144,0.000329863848895144,0.000329863848895144
1.05,0.000346263513941311,0.000346263513941311,0.000346263513941311,0.000346263513941311,0.000346263513941311,0.000346263513941311
1.1,0.000362649509096847,0.000362649509096847,0.000362649509096847,0.000362649509096847,0.000362649509096847,0.000362649509096847
1.15,0.000379021187470719,0.000379021187470719,0.000379021187470719,0.000379021187470719,0.000379021187470719,0.000379021187470719
1.2,0.000395377902737097,0.000395377902737097,0.000395377902737097,0.000395377902737097,0.000395377902737097,0.000395377902737097
1.25,0.000411719009160871,0.000411719009160871,0.000411719009160871,0.000411719009160871,0.000411719009160871,0.000411719009160871
1.3,0.000428043861623139,0.000428043861623139,0.000428043861623139,0.000428043861623139,0.000428043861623139,0.000428043861623139
1.35,0.000444351815646679,0.000444351815646679,0.000444351815646679,0.000444351815646679,0.000444351815646679,0.000444351815646679
1.4,0.000460642227421389,0.000460642227421389,0.000460642227421389,0.000460642227421389,0.000460642227421389,0.000460642227421389
1.45,0.000476914453829706,0.000476914453829706,0.000476914453829706,0.000476914453829706,0.000476914453829706,0.000476914453829706
1.5,0.000493167852471995,0.000493167852471995,0.000493167852471995,0.000493167852471995,0.000493167852471995,0.000493167852471995
1.55,0.000509401781691906,0.000509401781691906,0.000509401781691906,0.000509401781691906,0.000509401781691906,0.000509401781691906
1.6,0.000525615600601712,0.000525615600601712,0.000525615600601712,0.000525615600601712,0.000525615600601712,0.000525615600601712
1.65,0.000541808669107605,0.000541808669107605,0.000541808669107605,0.000541808669107605,0.000541808669107605,0.000541808669107605
1.7,0.000557980347934965,0.000557980347934965,0.000557980347934965,0.000557980347934965,0.000557980347934965,0.000557980347934965
1.75,0.000574129998653605,0.000574129998653605,0.000574129998653605,0.000574129998653605,0.000574129998653605,0.000574129998653605
1.8,0.000590256983702966,0.000590256983702966,0.000590256983702966,0.000590256983702966,0.000590256983702966,0.000590256983702966
