Time,Force_J1,Force_J2,Force_J3,Force_J4,Force_J5,Force_J6
0,187.2600218244,-2.63992093071921E-08,-2.98140904055942E-09,0.00066397023,0,0
0.05,187.260266734798,0.000184239533299446,5.07631834811082E-05,0.00066385851300232,-3.86878272830182E-07,2.72853439255588E-11
0.1,187.26051323426,0.000369298782795048,0.000102327921373723,0.000663757165862416,-7.73741173293147E-07,5.45696106724584E-11
0.15,187.260762911825,0.000555944646405774,0.000155489764757053,0.000663676558150448,-1.16057317396156E-06,8.18517231045504E-11
0.2,187.261017356442,0.000744970364058529,0.000211047171831844,0.00066362705875063,-1.54735857884441E-06,1.09130604170664E-10
0.25,187.261278156891,0.000937169074916936,0.000269798492508972,0.000663619035451819,-1.93408152406681E-06,1.36405176946983E-10
0.3,187.261546901697,0.00113333376892781,0.000332541933419453,0.00066366285453814,-2.32072597857949E-06,1.63674364679292E-10
0.35,187.261825179041,0.00133425723348165,0.000400075521939407,0.000663768880379647,-2.70727574489688E-06,1.90937090825043E-10
0.4,187.262114576664,0.00154073199519244,0.000473197069231381,0.00066394747502304,-3.09371445986207E-06,2.18192279095197E-10
0.45,187.262416681764,0.00175355025680482,0.000552704132305299,0.000664208997782459,-3.48002559543671E-06,2.45438853495813E-10
0.5,187.262733080886,0.00197350382923618,0.000639393975100959,0.000664563804830387,-3.86619245951264E-06,2.72675738369307E-10
0.55,187.263065359808,0.00220138405876283,0.000734063528594799,0.000665022248788637,-4.25219819674188E-06,2.99901858435379E-10
0.6,187.263415103421,0.00243798174936145,0.000837509349934703,0.000665594678319502,-4.63802578937992E-06,3.27116138831526E-10
0.65,187.263783895602,0.00268408708021586,0.000950527580604761,0.000666291437717033,-5.02365805813693E-06,3.54317505153122E-10
0.7,187.264173319078,0.00294048951840259,0.00107391390362431,0.000667122866498493,-5.40907766302964E-06,3.81504883493016E-10
0.75,187.264584955291,0.0032079777267676,0.00120846349978383,0.000668099298995997,-5.79426710422603E-06,4.08677200480596E-10
0.8,187.26502038425,0.0034873394670096,0.00135497100292221,0.000669231063948357,-6.17920872287278E-06,4.35833383320293E-10
0.85,187.265481184382,0.00377936149798442,0.00151423045424833,0.000670528484093151,-6.56388470189476E-06,4.6297235982946E-10
0.9,187.265968932373,0.00408482946924684,0.00168703525571092,0.000672001875759032,-6.94827706675349E-06,4.90093058475611E-10
0.95,187.266485203007,0.00440452780984852,0.00187417812242185,0.000673661548458308,-7.33236768615012E-06,5.1719440841295E-10
1,187.267031568994,0.00473923961240821,0.00207645103413509,0.000675517804479794,-7.71613827265673E-06,5.44275339518175E-10
1.05,187.267609600799,0.00508974651247584,0.00229464518578782,0.000677580938481973,-8.09957038325729E-06,5.71334782425489E-10
1.1,187.268220866459,0.00545682856320842,0.00252955093710579,0.000679861237086464,-8.48264541977818E-06,5.98371668560805E-10
1.15,187.268866931398,0.00584126410538216,0.00278195776128064,0.000682368978471862,-8.86534462918554E-06,6.25384930175079E-10
1.2,187.269549358232,0.00624382963275841,0.00305265419271936,0.000685114431967896,-9.24764910372471E-06,6.52373500376746E-10
1.25,187.270269706573,0.00666529965283211,0.0033424277738761,0.000688107857650006,-9.62953978087421E-06,6.79336313163222E-10
1.3,187.271029532825,0.00710644654298175,0.00365206500116637,0.000691359505934306,-1.00109974430852E-05,7.06272303451415E-10
1.35,187.271830389974,0.00756804040204896,0.00398235126997148,0.000694879617172961,-1.03920027172733E-05,7.33180407107227E-10
1.4,187.272673827372,0.00805084889737337,0.00433407081873822,0.00069867842125004,-1.07725360740286E-05,7.60059560973994E-10
1.45,187.273561390517,0.00855563710730692,0.00470800667217642,0.000702766137177792,-1.11525778265053E-05,7.86908702899835E-10
1.5,187.274494620827,0.0090831673592399,0.00510494058356393,0.000707152972693448,-1.15321081289512E-05,8.13726771763867E-10
1.55,187.275475055405,0.00963419906316253,0.00552565297615981,0.000711849123856507,-1.1911106974833E-05,8.40512707501256E-10
1.6,187.276504226804,0.0102094885407954,0.00597092288373504,0.000716864774646567,-1.22895541945105E-05,8.67265451127053E-10
1.65,187.277583662785,0.0108097888503172,0.00644152789022394,0.00072221009656171,-1.26674294524108E-05,8.93983944758807E-10
1.7,187.278714886063,0.0114358496067206,0.00693824406850193,0.000727895248217454,-1.30447122436486E-05,9.20667131637886E-10
1.75,187.279899414058,0.0120884167978301,0.00746184591829688,0.000733930374946313,-1.34213818900368E-05,9.47313956149499E-10
1.8,187.281138758634,0.0127682325960141,0.00801310630323887,0.000740325608397989,-1.37974175354281E-05,9.73923363841372E-10
1.85,187.282434425832,0.0134760351656236,0.00859279638705275,0.000747091066140194,-1.41727981403228E-05,1.00049430144105E-09
1.9,187.283787915605,0.0142125584661946,0.00920168556890208,0.000754236851260158,-1.45475024756787E-05,1.02702571687178E-09
1.95,187.285200721535,0.0149785320514476,0.0098405414178881,0.000761773051966831,-1.49215091158503E-05,1.05351655926699E-09
2,187.286674330561,0.0157746808641214,0.0105101296067101,0.000769709741193798,-1.52947964305846E-05,1.07996577898322E-09
2.05,187.288210222687,0.0166017250266787,0.0112112138444947,0.000778056976202958,-1.56673425759957E-05,1.10637232761165E-09
2.1,187.289809870693,0.0174603796279196,0.0119445558087969,0.000786824798188956,-1.6039125484436E-05,1.13273515798802E-09
2.15,187.29147473984,0.0183513545055444,0.0127109150767825,0.000796023231884424,-1.64101228531793E-05,1.15905322420103E-09
2.2,187.293206287568,0.0192753540247026,0.0135110490555954,0.000805662285166053,-1.67803121318252E-05,1.18532548159914E-09
2.25,187.295005963191,0.0202330768525693,0.0143457129119165,0.000815751948661501,-1.71496705083325E-05,1.21155088679576E-09
2.3,187.296875207587,0.0212252157289896,0.0152156595007205,0.000826302195357185,-1.75181748935836E-05,1.23772839767277E-09
2.35,187.298815452879,0.0222524572332348,0.0161216392932372,0.000837322980206987,-1.78858019043781E-05,1.26385697338244E-09
2.4,187.30082812212,0.0233154815469091,0.0170644003041227,0.000848824239741892,-1.82525278447499E-05,1.28993557434758E-09
2.45,187.302914628961,0.0244149622130528,0.018044688017846,0.000860815891680575,-1.86183286854972E-05,1.31596316226003E-09
2.5,187.305076377328,0.0255515658914856,0.0190632453142987,0.000873307834540996,-1.8983180041813E-05,1.3419387000774E-09
2.55,187.307314761086,0.0267259521104323,0.0201208123936329,0.000886309947252997,-1.9347057148895E-05,1.36786115201803E-09
2.6,187.309631163694,0.027938773014481,0.0212181267003341,0.000899832088771974,-1.97099348354122E-05,1.39372948355419E-09
2.65,187.312026957872,0.0291906731089142,0.0223559228465345,0.000913884097693606,-2.00717874947044E-05,1.41954266140347E-09
2.7,187.314503505242,0.0304822890004622,0.0235349325345718,0.000928475791869687,-2.04325890535769E-05,1.44529965351835E-09
2.75,187.317062155987,0.031814249134529,0.0247558844788049,0.000943616968025138,-2.07923129385602E-05,1.47099942907397E-09
2.8,187.319704248483,0.033187173528933,0.0260195043266843,0.000959317401376153,-2.1150932039489E-05,1.49664095845392E-09
2.85,187.322431108947,0.0346016735042137,0.0273265145790892,0.000975586845249541,-2.15084186702589E-05,1.52222321323436E-09
2.9,187.325244051068,0.0360583514105578,0.0286776345099382,0.000992435030703349,-2.18647445266103E-05,1.54774516616606E-09
2.95,187.32814437564,0.0375578003513878,0.0300735800850748,0.00100987166614872,-2.22198806407828E-05,1.57320579115465E-09
3,187.331133370184,0.0391006039036662,0.0315150638804349,0.00102790643697303,-2.25737973328861E-05,1.59860406323893E-09
3.05,187.334212308578,0.0406873358349726,0.0330027949995096,0.00104654900516442,-2.29264641588194E-05,1.62393895856724E-09
3.1,187.33738245067,0.0423185598173938,0.0345374789900966,0.00106580900893763,-2.3277849854575E-05,1.64920945437192E-09
3.15,187.340645041895,0.0439948291382905,0.0361198177603577,0.00108569606236125,-2.36279222767515E-05,1.67441452894181E-09
3.2,187.344001312887,0.0457166864079874,0.0377505094941822,0.00110621975498649,-2.39766483391015E-05,1.6995531615928E-09
3.25,187.347452479085,0.0474846632644428,0.0394302485658637,0.00112738965147724,-2.43239939449308E-05,1.72462433263643E-09
3.3,187.350999740338,0.0492992800749503,0.0411597254540958,0.00114921529124184,-2.46699239151637E-05,1.74962702334647E-09
3.35,187.354644280506,0.0511610456349288,0.0429396266552936,0.00117170618806622,-2.50144019118855E-05,1.77456021592365E-09
3.4,187.358387267055,0.0530704568638576,0.0447706345962468,0.00119487182974874,-2.53573903571637E-05,1.79942289345827E-09
3.45,187.362229850651,0.0550279984984075,0.0466534275461079,0.00121872167773657,-2.5698850346953E-05,1.82421403989095E-09
3.5,187.366173164748,0.0570341427828311,0.0485886795277247,0.00124326516676373,-2.60387415598746E-05,1.84893263997135E-09
3.55,187.370218325181,0.0590893491566641,0.050577060228321,0.00126851170449086,-2.63770221606687E-05,1.8735776792149E-09
3.6,187.374366429741,0.0611940639397963,0.0526192349095295,0.00129447067114666,-2.67136486981E-05,1.89814814385762E-09
3.65,187.378618557762,0.0633487200149749,0.0547158643167886,0.00132115141917113,-2.70485759971043E-05,1.92264302080893E-09
3.7,187.382975769696,0.0655537365077904,0.0568676045881,0.00134856327286056,-2.7381757044953E-05,1.94706129760246E-09
3.75,187.387439106685,0.067809518464213,0.0590751071621617,0.00137671552801444,-2.77131428712088E-05,1.971401962345E-09
3.8,187.392009590136,0.0701164565257331,0.0613390186858756,0.0014056174515842,-2.8042682421246E-05,1.99566400366339E-09
3.85,187.396688221288,0.0724749266021679,0.0636599809212369,0.00143527828132383,-2.83703224230968E-05,2.01984641064958E-09
3.9,187.401475980778,0.0748852895421966,0.0660386306516142,0.00146570722544253,-2.86960072473879E-05,2.04394817280365E-09
3.95,187.406373828204,0.077347890801683,0.0684755995874208,0.00149691346225932,-2.90196787601286E-05,2.067968279975E-09
4,187.411382701684,0.0798630601098468,0.0709715142711852,0.00152890613985967,-2.93412761680952E-05,2.09190572230162E-09
4.05,187.416503517417,0.0824311111333496,0.0735269959820284,0.00156169437575426,-2.96607358565693E-05,2.11575949014745E-09
4.1,187.421737169238,0.0850523411383518,0.0761426606395472,0.00159528725653979,-2.99779912191767E-05,2.1395285740379E-09
4.15,187.427084528169,0.0877270306506116,0.0788191187071184,0.00162969383756204,-3.02929724795579E-05,2.16321196459349E-09
4.2,187.432546441972,0.0904554431136804,0.0815569750946181,0.00166492314258102,-3.06056065046255E-05,2.18680865246171E-09
4.25,187.438123734696,0.0932378245452663,0.0843568290605716,0.00170098416343843,-3.09158166091264E-05,2.21031762824705E-09
4.3,187.443817206228,0.0960744031918272,0.0872192741137336,0.00173788585972744,-3.12235223512554E-05,2.23373788243924E-09
4.35,187.449627631832,0.0989653891814556,0.0901448979141048,0.00177563715846471,-3.15286393190342E-05,2.25706840533979E-09
4.4,187.455555761694,0.101910974175125,0.0931342821733911,0.00181424695376481,-3.18310789071904E-05,2.28030818698674E-09
4.45,187.461602320467,0.104911331016365,0.0961880025549147,0.00185372410651711,-3.21307480842537E-05,2.30345621707779E-09
4.5,187.467768006803,0.107966613379414,0.0993066285729683,0.00189407744406503,-3.24275491495846E-05,2.32651148489171E-09
4.55,187.474053492895,0.111076955415953,0.102490723491641,0.00193531575988785,-3.27213794800582E-05,2.34947297920816E-09
4.6,187.480459424013,0.114242471400441,0.105740844223099,0.00197744781328507,-3.30121312661083E-05,2.37233968822595E-09
4.65,187.486986418035,0.117463255374155,0.109057541225338,0.00202048232906326,-3.32996912368434E-05,2.39511059947969E-09
4.7,187.493635064985,0.120739380787992,0.112441358399409,0.00206442799722568,-3.35839403739382E-05,2.41778469975498E-09
4.75,187.50040592656,0.124070900144089,0.11589283298613,0.00210929347266443,-3.3864753614016E-05,2.44036097500216E-09
4.8,187.507299535663,0.127457844636347,0.119412495462275,0.00215508737485544,-3.41419995392047E-05,2.46283841024859E-09
4.85,187.514316395933,0.130900223789921,0.12300086943626,0.00220181828755609,-3.4415540055582E-05,2.48521598950957E-09
4.9,187.52145698127,0.134398025099743,0.126658471543322,0.00224949475850574,-3.46852300591984E-05,2.50749269569801E-09
4.95,187.528721735364,0.137951213668144,0.1303858113402,0.00229812529912903,-3.49509170893777E-05,2.52966751053278E-09
5,187.536111071225,0.141559731841664,0.134183391199329,0.00234771838424214,-3.52124409689824E-05,2.55173941444583E-09
5.05,187.5436253707,0.145223498847094,0.138051706202536,0.00239828245176189,-3.54696334313398E-05,2.57370738648826E-09
5.1,187.551264984007,0.148942410426843,0.141991244034263,0.00244982590241788,-3.57223177335157E-05,2.59557040423517E-09
5.15,187.559030229255,0.152716338473684,0.146002484874316,0.00250235709946765,-3.59703082556296E-05,2.61732744368962E-09
5.2,187.566921391965,0.156545130664966,0.150085901290129,0.00255588436841484,-3.62134100858892E-05,2.63897747918553E-09
5.25,187.574938724601,0.160428610096358,0.15424195812859,0.00261041599673058,-3.64514185910358E-05,2.6605194832897E-09
5.3,187.583082446085,0.164366574915181,0.158471112407374,0.00266596023357781,-3.66841189718854E-05,2.68195242670311E-09
5.35,187.591352741326,0.168358797953439,0.162773813205856,0.00272252528953909,-3.69112858036524E-05,2.70327527816134E-09
5.4,187.599749760739,0.172405026360574,0.167150501555554,0.00278011933634732,-3.71326825607232E-05,2.72448700433442E-09
5.45,187.608273619768,0.176504981236064,0.171601610330145,0.00283875050662004,-3.73480611255955E-05,2.74558656972604E-09
5.5,187.61692439841,0.180658357261899,0.176127564135037,0.00289842689359676,-3.75571612816213E-05,2.76657293657228E-09
5.55,187.625702140739,0.184864822335043,0.180728779196519,0.00295915655087991,-3.77597101892831E-05,2.78744506473994E-09
5.6,187.634606854426,0.189124017199923,0.185405663250482,0.00302094749217899,-3.79554218456422E-05,2.80820191162446E-09
5.65,187.643638510263,0.193435555081048,0.190158615430735,0.00308380769105829,-3.81439965266854E-05,2.82884243204772E-09
5.7,187.652797041689,0.197799021315821,0.194988026156896,0.00314774508068802,-3.83251202122167E-05,2.84936557815562E-09
5.75,187.662082344312,0.202213972987612,0.199894277021896,0.00321276755359899,-3.84984639929944E-05,2.8697702993156E-09
5.8,187.671494275438,0.206679938559183,0.204877740679074,0.00327888296144084,-3.86636834598042E-05,2.8900555420143E-09
5.85,187.68103265359,0.211196417506532,0.209938780728893,0.00334609911474392,-3.88204180741465E-05,2.91022024975533E-09
5.9,187.690697258041,0.215762879953231,0.215077751605264,0.00341442378268469,-3.89682905202255E-05,2.93026336295728E-09
5.95,187.700487828339,0.22037876630534,0.220294998461505,0.00348386469285497,-3.9106906037931E-05,2.9501838188522E-09
6,187.710404063835,0.225043486886972,0.225590857055922,0.00355442953103472,-3.92358517365046E-05,2.9699805513845E-09
6.05,187.720445623212,0.229756421576585,0.230965653637039,0.00362612594096876,-3.93546958885896E-05,2.98965249111052E-09
6.1,187.73061212402,0.234516919444074,0.236419704828464,0.00369896152414704,-3.94629872043429E-05,3.0091985650988E-09
6.15,187.740903142202,0.239324298388762,0.241953317513425,0.00377294383958902,-3.95602540853249E-05,3.02861769683126E-09
6.2,187.751318211634,0.244177844778331,0.247566788718954,0.00384808040363168,-3.96460038578509E-05,3.0479088061053E-09
6.25,187.761856823655,0.249076813088812,0.253260405499747,0.00392437868972147,-3.97197219855407E-05,3.06707080893716E-09
6.3,187.772518426607,0.254020425545685,0.259034444821711,0.0040018461282103,-3.97808712607092E-05,3.08610261746635E-09
6.35,187.78330242537,0.259007871766175,0.264889173445184,0.00408049010615529,-3.98288909743856E-05,3.10500313986172E-09
6.4,187.794208180908,0.264038308402837,0.270824847807867,0.0041603179671227,-3.98631960646182E-05,3.12377128022885E-09
6.45,187.805235009806,0.269110858788484,0.276841713907445,0.0042413370109957,-3.98831762427998E-05,3.14240593851932E-09
6.5,187.816382183814,0.274224612582567,0.28294000718394,0.00432355449378634,-3.98881950977488E-05,3.1609060104417E-09
6.55,187.8276489294,0.279378625419059,0.289119952401773,0.00440697762745147,-3.98775891772477E-05,3.17927038737464E-09
6.6,187.83903442729,0.284571918555953,0.295381763531567,0.00449161357971279,-3.98506670467848E-05,3.19749795628204E-09
6.65,187.850537812024,0.289803478526427,0.301725643631693,0.00457746947388107,-3.98067083252512E-05,3.21558759963062E-09
6.7,187.862158171509,0.295072256791779,0.308151784729566,0.00466455238868442,-3.97449626972788E-05,3.23353819530994E-09
6.75,187.873894546575,0.300377169396199,0.314660367702708,0.00475286935810086,-3.96646489020402E-05,3.25134861655508E-09
6.8,187.88574593053,0.305717096623474,0.321251562159585,0.0048424273711949,-3.95649536982038E-05,3.2690177318722E-09
6.85,187.897711268726,0.311090882655686,0.327925526320224,0.00493323337195848,-3.94450308048245E-05,3.2865444049671E-09
6.9,187.909789458121,0.31649733523402,0.334682406896637,0.00502529425915606,-3.93039998179472E-05,3.30392749467694E-09
6.95,187.921979346846,0.321935225321723,0.341522338973044,0.00511861688617395,-3.91409451026694E-05,3.32116585490545E-09
7,187.934279733775,0.327403286769338,0.348445445885914,0.00521320806087392,-3.89549146604562E-05,3.33825833456159E-09
7.05,187.9466893681,0.33290021598226,0.355451839103851,0.00530907454545105,-3.8744918971493E-05,3.35520377750207E-09
7.1,187.959206948904,0.338424671590732,0.362541618107307,0.00540622305629586,-3.8509929811865E-05,3.37200102247785E-09
7.15,187.971831124747,0.343975274122331,0.369714870268162,0.00550466026386075,-3.82488790453577E-05,3.38864890308475E-09
7.2,187.984560493241,0.349550605677059,0.376971670729176,0.00560439279253067,-3.79606573897138E-05,3.40514624771848E-09
7.25,187.997393600645,0.355149209605099,0.384312082283315,0.00570542722049817,-3.76441131571087E-05,3.42149187953428E-09
