Time,Position_J1,Position_J2,Position_J3,Position_J4,Position_J5,Position_J6
0,0,0,0,0,0,0
0.05,6.89027010460655E-09,6.89027010460655E-09,6.89027010460655E-09,6.89027010460655E-09,6.89027010460655E-09,6.89027010460655E-09
0.1,5.5121834417122E-08,5.5121834417122E-08,5.5121834417122E-08,5.5121834417122E-08,5.5121834417122E-08,5.5121834417122E-08
0.15,1.86034355062499E-07,1.86034355062499E-07,1.86034355062499E-07,1.86034355062499E-07,1.86034355062499E-07,1.86034355062499E-07
0.2,4.40964230061396E-07,4.40964230061396E-07,4.40964230061396E-07,4.40964230061396E-07,4.40964230061396E-07,4.40964230061396E-07
0.25,8.61242961444867E-07,8.61242961444867E-07,8.61242961444867E-07,8.61242961444867E-07,8.61242961444867E-07,8.61242961444867E-07
0.3,1.48819552354984E-06,1.48819552354984E-06,1.48819552354984E-06,1.48819552354984E-06,1.48819552354984E-06,1.48819552354984E-06
0.35,2.36313873159013E-06,2.36313873159013E-06,2.36313873159013E-06,2.36313873159013E-06,2.36313873159013E-06,2.36313873159013E-06
0.4,3.52737961052685E-06,3.52737961052685E-06,3.52737961052685E-06,3.52737961052685E-06,3.52737961052685E-06,3.52737961052685E-06
0.45,5.02221376434801E-06,5.02221376434801E-06,5.02221376434801E-06,5.02221376434801E-06,5.02221376434801E-06,5.02221376434801E-06
0.5,6.88892374578885E-06,6.88892374578885E-06,6.88892374578885E-06,6.88892374578885E-06,6.88892374578885E-06,6.88892374578885E-06
0.55,9.16877742655431E-06,9.16877742655431E-06,9.16877742655431E-06,9.16877742655431E-06,9.16877742655431E-06,9.16877742655431E-06
0.6,1.1903026368152E-05,1.1903026368152E-05,1.1903026368152E-05,1.1903026368152E-05,1.1903026368152E-05,1.1903026368152E-05
0.65,1.51329041933376E-05,1.51329041933376E-05,1.51329041933376E-05,1.51329041933376E-05,1.51329041933376E-05,1.51329041933376E-05
0.7,1.88996249582921E-05,1.88996249582921E-05,1.88996249582921E-05,1.88996249582921E-05,1.88996249582921E-05,1.88996249582921E-05
0.75,2.32443815255494E-05,2.32443815255494E-05,2.32443815255494E-05,2.32443815255494E-05,2.32443815255494E-05,2.32443815255494E-05
0.8,2.82083439377849E-05,2.82083439377849E-05,2.82083439377849E-05,2.82083439377849E-05,2.82083439377849E-05,2.82083439377849E-05
0.85,3.38326577924918E-05,3.38326577924918E-05,3.38326577924918E-05,3.38326577924918E-05,3.38326577924918E-05,3.38326577924918E-05
0.9,4.01584426176042E-05,4.01584426176042E-05,4.01584426176042E-05,4.01584426176042E-05,4.01584426176042E-05,4.01584426176042E-05
